,Katz,Absolute Katz,Gene Name
ENSG00000196937,0.22221200535404526,0.22221200535404526,FAM3C
ENSG00000077782,0.19994818659545757,0.19994818659545757,FGFR1
ENSG00000232810,0.18598502825002372,0.18598502825002372,TNF
ENSG00000066468,0.1598751971796944,0.1598751971796944,FGFR2
ENSG00000114251,0.14760672743193534,0.14760672743193534,WNT5A
ENSG00000146648,0.14112673299027173,0.14112673299027173,EGFR
ENSG00000177707,0.11839365552630579,0.11839365552630579,PVRL3
ENSG00000030582,0.11583822664157338,0.11583822664157338,GRN
ENSG00000184349,0.11279995340883524,0.11279995340883524,EFNA5
ENSG00000086548,0.10540612567422096,0.10540612567422096,CEACAM6
ENSG00000184916,0.10337367991225531,0.10337367991225531,JAG2
ENSG00000122218,0.10329226895358214,0.10329226895358214,COPA
ENSG00000240972,0.10124777928466767,0.10124777928466767,MIF
ENSG00000079385,0.09184830925458314,0.09184830925458314,CEACAM1
ENSG00000102678,0.08774831485809394,0.08774831485809394,FGF9
