,$\alpha{-}cells$,$\beta{-}cells$,$\delta{-}cells$,Acinar cells,Ductal cells,PP cells,Stellate cells
CPI-SS0A1864A37$\alpha{-}cells$,1,1,0,0,0,0,1
CPI-SS043E0F61D$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS00EC753E6$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0C4E86714$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0BF490275$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS072E1E27A$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-SS01A07768A$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-CS04DD927C9$\alpha{-}cells$,1,1,1,1,1,1,0
CPI-CS0B79F5D68$\alpha{-}cells$,1,1,1,1,1,1,0
CPI-SS0AFC7BACF$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-SS00561BBD7$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-SS038E93B77$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-SS01158CABF$\alpha{-}cells$,1,0,0,0,0,0,0
CPI-CS063AE1C91$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-CS0860DA460$\alpha{-}cells$,1,0,0,0,1,1,0
CPI-CS017A50010$\alpha{-}cells$,1,0,0,0,1,1,0
CPI-SS0649EA05F$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-SS07833475A$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-CS02AEFFE28$\alpha{-}cells$,1,0,0,0,1,1,0
CPI-SS06BC4D123$\alpha{-}cells$,1,0,0,1,1,0,0
CPI-CS076E1A639$\alpha{-}cells$,1,0,0,0,1,1,0
CPI-CS05AB368CE$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-CS0715DE78D$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0DA033F03$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0E0BCE16F$\alpha{-}cells$,1,0,0,0,0,1,1
CPI-SS042EB8C7A$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS0273C9AED$\alpha{-}cells$,1,1,1,0,1,1,1
CPI-SS0A4EE6FE1$\alpha{-}cells$,1,1,1,1,0,1,1
CPI-SS0EDAE16B6$\alpha{-}cells$,1,0,0,0,0,1,0
CPI-CS0BE59B43E$\alpha{-}cells$,1,0,0,0,1,1,0
CPI-CS0924060DB$\alpha{-}cells$,1,1,1,1,1,0,1
CPI-SS0E91E504D$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-CS091BF99D0$\alpha{-}cells$,1,1,1,1,1,1,1
CPI-SS0F00D756A$\alpha{-}cells$,1,0,1,0,1,0,1
CPI-SS034D36D2F$\alpha{-}cells$,1,0,0,1,1,0,1
CPI-SS0C23EF34B$\alpha{-}cells$,1,0,1,0,1,1,0
CPI-SS05B1FA8A8$\alpha{-}cells$,1,1,1,1,0,1,1
CPI-CS0AB9C7139$\alpha{-}cells$,1,0,1,1,1,1,1
CPI-SS043E0F61D$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS0AB647854$\beta{-}cells$,1,1,1,0,1,0,0
CPI-CS067298D94$\beta{-}cells$,1,1,1,0,1,1,1
CPI-CS0AA769F5B$\beta{-}cells$,1,1,0,0,0,1,0
CPI-SS0E00478B4$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS072E1E27A$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS01A07768A$\beta{-}cells$,1,0,0,0,0,0,0
CPI-SS0AFC7BACF$\beta{-}cells$,1,0,0,0,0,1,0
CPI-SS00561BBD7$\beta{-}cells$,1,0,0,0,0,1,0
CPI-SS038E93B77$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS07DFEBFA8$\beta{-}cells$,1,1,0,0,0,1,0
CPI-SS01158CABF$\beta{-}cells$,1,1,1,0,0,0,0
CPI-SS0907A7598$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS063AE1C91$\beta{-}cells$,1,0,0,0,0,1,0
CPI-SS0BEAB521F$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS07D40A3F3$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0586F2596$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS077F1340A$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS091B461CB$\beta{-}cells$,1,0,1,0,0,0,1
CPI-SS0947A8549$\beta{-}cells$,1,1,1,1,0,1,1
CPI-SS0DE0A486F$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0F1A060D4$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0649EA05F$\beta{-}cells$,1,1,0,1,1,0,1
CPI-SS03A2EFDD5$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS033E6DE7E$\beta{-}cells$,1,0,0,0,1,1,1
CPI-SS0C5E9FBFB$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS07833475A$\beta{-}cells$,1,0,0,0,0,1,1
CPI-SS08083B141$\beta{-}cells$,1,0,0,0,1,0,1
CPI-SS06BC4D123$\beta{-}cells$,1,0,0,1,1,0,0
CPI-SS0FA326344$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS0FCC00896$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS0CA393CC5$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS082900482$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS0E0BCE16F$\beta{-}cells$,1,0,0,0,0,1,1
CPI-CS0288D901D$\beta{-}cells$,1,0,0,0,1,1,0
CPI-CS0C99F8D96$\beta{-}cells$,1,0,0,0,1,1,0
CPI-CS0E1BF543E$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS055E061C9$\beta{-}cells$,1,1,0,0,1,1,0
CPI-CS0EC80CA59$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS046BCFC6F$\beta{-}cells$,1,1,1,1,1,1,1
CPI-CS047EE9E03$\beta{-}cells$,1,1,1,1,1,1,1
CPI-SS042EB8C7A$\beta{-}cells$,1,1,1,0,1,1,1
CPI-SS0EDAE16B6$\beta{-}cells$,1,0,0,0,0,1,0
