id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	$\alpha{-}cells$|$\alpha{-}cells$	$\alpha{-}cells$|$\beta{-}cells$	$\alpha{-}cells$|$\delta{-}cells$	$\alpha{-}cells$|Acinar cells	$\alpha{-}cells$|Ductal cells	$\alpha{-}cells$|PP cells	$\alpha{-}cells$|Stellate cells	$\beta{-}cells$|$\alpha{-}cells$	$\beta{-}cells$|$\beta{-}cells$	$\beta{-}cells$|$\delta{-}cells$	$\beta{-}cells$|Acinar cells	$\beta{-}cells$|Ductal cells	$\beta{-}cells$|PP cells	$\beta{-}cells$|Stellate cells	$\delta{-}cells$|$\alpha{-}cells$	$\delta{-}cells$|$\beta{-}cells$	$\delta{-}cells$|$\delta{-}cells$	$\delta{-}cells$|Acinar cells	$\delta{-}cells$|Ductal cells	$\delta{-}cells$|PP cells	$\delta{-}cells$|Stellate cells	Acinar cells|$\alpha{-}cells$	Acinar cells|$\beta{-}cells$	Acinar cells|$\delta{-}cells$	Acinar cells|Acinar cells	Acinar cells|Ductal cells	Acinar cells|PP cells	Acinar cells|Stellate cells	Ductal cells|$\alpha{-}cells$	Ductal cells|$\beta{-}cells$	Ductal cells|$\delta{-}cells$	Ductal cells|Acinar cells	Ductal cells|Ductal cells	Ductal cells|PP cells	Ductal cells|Stellate cells	PP cells|$\alpha{-}cells$	PP cells|$\beta{-}cells$	PP cells|$\delta{-}cells$	PP cells|Acinar cells	PP cells|Ductal cells	PP cells|PP cells	PP cells|Stellate cells	Stellate cells|$\alpha{-}cells$	Stellate cells|$\beta{-}cells$	Stellate cells|$\delta{-}cells$	Stellate cells|Acinar cells	Stellate cells|Ductal cells	Stellate cells|PP cells	Stellate cells|Stellate cells
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	ENSG00000073008	ENSG00000153283	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.85	0.85	0.85	0.85	0.85	0.85	0.85	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.222	0.222	0.222	0.222	0.222	0.222	0.222	0.594	0.594	0.594	0.594	0.594	0.594	0.594
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	ENSG00000073008	ENSG00000150637	True	True	True	curated	False	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.85	1.0	0.85	0.85	0.85	0.85	0.88	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.222	1.0	0.132	0.192	0.162	0.132	0.252	0.594	1.0	0.594	0.594	0.654	0.513	0.594
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	ENSG00000073008	ENSG00000181847	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.85	0.85	0.85	0.85	0.88	0.85	0.85	1.0	1.0	1.0	1.0	1.0	0.97	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.222	0.222	0.222	0.252	0.192	0.132	0.222	0.594	0.594	0.594	0.594	0.594	0.423	0.594
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	ENSG00000073008	ENSG00000177707	True	True	False	curated	False	1.0	0.0	0.06	0.261	0.253	0.91	0.706	1.0	0.0	0.535	0.876	1.0	1.0	1.0	1.0	0.0	0.526	0.888	0.94	1.0	0.94	1.0	0.03	0.898	0.928	1.0	1.0	1.0	1.0	0.0	0.646	0.958	1.0	1.0	1.0	1.0	0.0	0.09	0.432	0.688	1.0	0.838	1.0	0.0	0.291	0.573	0.799	1.0	0.949
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	ENSG00000182985	ENSG00000177707	False	False	False	curated	False	1.0	0.09	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.838	1.0	1.0	1.0	1.0	1.0	1.0	0.132	0.97	0.97	1.0	1.0	1.0	1.0	0.525	0.928	0.949	0.979	1.0	1.0
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	ENSG00000110400	ENSG00000177707	True	True	False	curated	False	1.0	0.0	0.09	0.471	0.778	1.0	0.949	1.0	0.0	0.12	0.501	0.757	1.0	0.949	1.0	0.0	0.453	0.867	0.97	1.0	1.0	1.0	0.0	0.505	0.838	0.94	1.0	0.979	1.0	0.0	0.406	0.838	0.979	1.0	1.0	1.0	0.0	0.06	0.321	0.466	0.97	0.727	1.0	0.0	0.739	0.97	1.0	1.0	1.0
CPI-SS03859E16F	TIGIT_NECTIN3	simple:Q495A1	simple:Q9NQS3	ENSG00000181847	ENSG00000177707	False	False	False	curated	False	1.0	0.0	0.12	0.612	0.829	1.0	0.979	1.0	0.0	0.12	0.612	0.829	1.0	0.979	1.0	0.0	0.12	0.612	0.829	1.0	0.979	1.0	0.0	0.12	0.663	0.829	1.0	0.979	1.0	0.0	0.12	0.612	0.799	1.0	0.979	1.0	0.0	0.12	0.501	0.778	1.0	0.979	1.0	0.0	0.12	0.612	0.859	1.0	0.979
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	ENSG00000130202	ENSG00000177707	False	True	False	curated	False	1.0	0.0	0.291	0.744	0.919	1.0	1.0	1.0	0.0	0.334	0.774	1.0	1.0	1.0	1.0	0.0	0.393	0.765	0.94	1.0	1.0	0.03	0.0	0.0	0.03	0.03	0.0	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.799	0.94	0.979	1.0	1.0	0.709	0.0	0.0	0.192	0.265	0.679	0.526
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	ENSG00000182985	ENSG00000182985	False	False	False	curated	False	1.0	0.0	0.09	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.846	0.0	0.0	0.03	0.09	0.0	0.0	1.0	0.463	0.03	0.333	1.0	0.846	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.463	1.0	1.0	1.0	1.0	1.0	0.0	0.03	1.0	1.0	1.0	1.0	1.0	0.03	0.333	1.0	1.0	1.0	1.0
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	ENSG00000109943	ENSG00000182985	False	False	False	curated	False	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.979
