id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	$\alpha{-}cells$|$\alpha{-}cells$	$\alpha{-}cells$|$\beta{-}cells$	$\alpha{-}cells$|$\delta{-}cells$	$\alpha{-}cells$|Acinar cells	$\alpha{-}cells$|Ductal cells	$\alpha{-}cells$|PP cells	$\alpha{-}cells$|Stellate cells	$\beta{-}cells$|$\alpha{-}cells$	$\beta{-}cells$|$\beta{-}cells$	$\beta{-}cells$|$\delta{-}cells$	$\beta{-}cells$|Acinar cells	$\beta{-}cells$|Ductal cells	$\beta{-}cells$|PP cells	$\beta{-}cells$|Stellate cells	$\delta{-}cells$|$\alpha{-}cells$	$\delta{-}cells$|$\beta{-}cells$	$\delta{-}cells$|$\delta{-}cells$	$\delta{-}cells$|Acinar cells	$\delta{-}cells$|Ductal cells	$\delta{-}cells$|PP cells	$\delta{-}cells$|Stellate cells	Acinar cells|$\alpha{-}cells$	Acinar cells|$\beta{-}cells$	Acinar cells|$\delta{-}cells$	Acinar cells|Acinar cells	Acinar cells|Ductal cells	Acinar cells|PP cells	Acinar cells|Stellate cells	Ductal cells|$\alpha{-}cells$	Ductal cells|$\beta{-}cells$	Ductal cells|$\delta{-}cells$	Ductal cells|Acinar cells	Ductal cells|Ductal cells	Ductal cells|PP cells	Ductal cells|Stellate cells	PP cells|$\alpha{-}cells$	PP cells|$\beta{-}cells$	PP cells|$\delta{-}cells$	PP cells|Acinar cells	PP cells|Ductal cells	PP cells|PP cells	PP cells|Stellate cells	Stellate cells|$\alpha{-}cells$	Stellate cells|$\beta{-}cells$	Stellate cells|$\delta{-}cells$	Stellate cells|Acinar cells	Stellate cells|Ductal cells	Stellate cells|PP cells	Stellate cells|Stellate cells
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	ENSG00000073008	ENSG00000153283	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.949	0.949	0.949	0.949	0.949	0.949	0.949	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.748	0.718	0.718	0.718	0.718	0.718	0.748	0.709	0.679	0.709	0.709	0.709	0.709	0.709	0.628	0.628	0.628	0.628	0.628	0.628	0.628
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	ENSG00000073008	ENSG00000150637	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.949	0.949	0.949	0.949	0.949	0.949	0.949	0.94	0.94	0.94	0.94	0.94	0.97	0.94	0.748	0.718	0.696	0.748	0.748	0.748	0.718	0.709	0.709	0.679	0.739	0.679	0.739	0.679	0.628	0.628	0.598	0.658	0.628	0.628	0.628
CPI-SS00561BBD7	PVR_TIGIT	simple:P15151	simple:Q495A1	ENSG00000073008	ENSG00000181847	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.949	0.949	0.949	0.949	0.949	0.949	0.949	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.748	0.718	0.748	0.748	0.718	0.748	0.778	0.709	0.709	0.739	0.709	0.679	0.679	0.709	0.628	0.628	0.628	0.628	0.628	0.628	0.628
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	ENSG00000073008	ENSG00000177707	True	True	False	curated	False	0.777	0.0	0.0	0.03	0.475	0.696	0.111	1.0	0.0	0.06	0.748	1.0	1.0	1.0	1.0	0.06	0.111	0.676	0.979	1.0	0.919	1.0	0.141	0.222	0.769	1.0	1.0	0.97	0.97	0.0	0.06	0.406	0.949	0.97	0.718	0.97	0.0	0.021	0.286	0.97	0.97	0.679	0.97	0.0	0.0	0.304	0.94	1.0	0.649
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	ENSG00000182985	ENSG00000177707	False	False	False	curated	False	1.0	1.0	0.97	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.715	0.715	0.928	1.0	1.0	1.0	1.0	0.829	0.799	0.97	1.0	1.0	1.0	1.0	0.889	0.838	0.97	1.0	1.0	0.97
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	ENSG00000110400	ENSG00000177707	True	True	False	curated	False	1.0	0.0	0.0	0.06	0.91	1.0	0.436	1.0	0.0	0.0	0.193	1.0	1.0	0.769	0.97	0.0	0.0	0.081	0.868	0.88	0.346	1.0	0.0	0.0	0.466	1.0	1.0	0.859	1.0	0.0	0.0	0.556	1.0	1.0	0.97	1.0	0.0	0.0	0.304	0.94	1.0	0.727	1.0	0.0	0.0	0.475	1.0	1.0	0.898
CPI-SS03859E16F	TIGIT_NECTIN3	simple:Q495A1	simple:Q9NQS3	ENSG00000181847	ENSG00000177707	False	False	False	curated	False	1.0	0.0	0.0	0.124	1.0	1.0	0.637	1.0	0.0	0.0	0.103	1.0	1.0	0.637	1.0	0.0	0.0	0.124	1.0	1.0	0.637	1.0	0.0	0.0	0.124	1.0	1.0	0.637	1.0	0.0	0.0	0.103	0.97	1.0	0.637	1.0	0.0	0.0	0.103	0.97	1.0	0.637	1.0	0.0	0.0	0.124	1.0	1.0	0.637
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	ENSG00000130202	ENSG00000177707	False	True	False	curated	False	1.0	0.0	0.0	0.112	0.94	1.0	0.586	1.0	0.0	0.0	0.466	1.0	1.0	0.97	1.0	0.051	0.06	0.577	1.0	1.0	0.97	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.0	1.0	0.0	0.0	0.385	1.0	1.0	0.748	1.0	0.0	0.03	0.364	0.979	0.97	0.697
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	ENSG00000182985	ENSG00000182985	False	False	False	curated	False	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.616	0.06	0.0	0.051	1.0	0.55	0.616	1.0	1.0	1.0	1.0	1.0	0.0	0.06	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.051	1.0	1.0	1.0	0.97
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	ENSG00000109943	ENSG00000182985	False	False	False	curated	False	1.0	0.0	0.0	1.0	1.0	1.0	0.97	1.0	0.0	0.0	1.0	1.0	1.0	0.97	1.0	0.0	0.0	1.0	1.0	1.0	0.97	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.97	1.0	0.0	0.0	1.0	1.0	1.0	0.97	1.0	0.0	0.0	1.0	1.0	1.0	0.97
