,K,K-in,K-out,Gene Name
ENSG00000066468,0.12000000000000001,0.07333333333333333,0.04666666666666667,FGFR2
ENSG00000146648,0.10333333333333335,0.05333333333333334,0.05,EGFR
ENSG00000077782,0.1,0.05666666666666667,0.043333333333333335,FGFR1
ENSG00000196937,0.09000000000000001,0.043333333333333335,0.04666666666666667,FAM3C
ENSG00000177707,0.08,0.04,0.04,PVRL3
ENSG00000114251,0.07666666666666667,0.02666666666666667,0.05,WNT5A
ENSG00000134250,0.07666666666666667,0.043333333333333335,0.03333333333333333,NOTCH2
ENSG00000118257,0.07333333333333333,0.03666666666666667,0.03666666666666667,NRP2
ENSG00000110400,0.07333333333333333,0.03666666666666667,0.03666666666666667,PVRL1
ENSG00000184349,0.07333333333333333,0.03333333333333333,0.04,EFNA5
ENSG00000178568,0.07333333333333333,0.043333333333333335,0.030000000000000002,ERBB4
ENSG00000099250,0.07333333333333333,0.03666666666666667,0.03666666666666667,NRP1
ENSG00000073008,0.07333333333333333,0.03666666666666667,0.03666666666666667,PVR
ENSG00000112715,0.07,0.030000000000000002,0.04,VEGFA
ENSG00000133216,0.07,0.03666666666666667,0.03333333333333333,EPHB2
ENSG00000204301,0.07,0.04,0.030000000000000002,NOTCH4
ENSG00000030582,0.07,0.03333333333333333,0.03666666666666667,GRN
